Country Name,Country Code,2017
Aruba,ABW,25655.1020217537
Afghanistan,AFG,550.068458763852
Angola,AGO,4100.28978571722
Albania,ALB,4537.57905556422
Andorra,AND,39146.5488360906
Arab World,ARB,6239.71393337992
United Arab Emirates,ARE,40698.8493360368
Argentina,ARG,14398.3587709055
Armenia,ARM,3936.79831965287
American Samoa,ASM,11394.4752969932
Antigua and Barbuda,ATG,14803.0109275452
Australia,AUS,53799.9380899599
Austria,AUT,47290.9116498316
Azerbaijan,AZE,4131.61831005055
Burundi,BDI,292.005210338326
Belgium,BEL,43323.8073364711
Benin,BEN,827.393679394667
Burkina Faso,BFA,642.037148269037
Bangladesh,BGD,1516.51326956437
Bulgaria,BGR,8227.96040622035
Bahrain,BHR,23655.0356024013
"Bahamas, The",BHS,30762.0124392644
Bosnia and Herzegovina,BIH,5148.20851695939
Belarus,BLR,5727.51171766732
Belize,BLZ,4971.20163552462
Bermuda,BMU,
Bolivia,BOL,3393.95581751781
Brazil,BRA,9821.40768641008
Barbados,BRB,16356.9801098282
Brunei Darussalam,BRN,28290.5851955712
Bhutan,BTN,3130.23354261776
Botswana,BWA,7595.6111411324
Central African Republic,CAF,418.411287036182
Canada,CAN,45032.1199081697
Central Europe and the Baltics,CEB,14159.2324209466
Switzerland,CHE,80189.6968607849
Channel Islands,CHI,
Chile,CHL,15346.4496997595
China,CHN,8826.99409574835
Cote d'Ivoire,CIV,1537.50403108704
Cameroon,CMR,1451.86574665297
"Congo, Dem. Rep.",COD,462.779544082555
"Congo, Rep.",COG,1654.01032176396
Colombia,COL,6408.92001169297
Comoros,COM,1312.3339253661
Cabo Verde,CPV,3244.40956093627
Costa Rica,CRI,11677.2690372725
Caribbean small states,CSS,9448.2241394676
Cuba,CUB,8433.09269880212
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,25233.570984591
Czech Republic,CZE,20368.1385576071
Germany,DEU,44469.9090607244
Djibouti,DJI,1927.58970569415
Dominica,DMA,6719.33716604667
Denmark,DNK,56307.5082995258
Dominican Republic,DOM,7052.25883896858
Algeria,DZA,4055.24721109629
East Asia & Pacific (excluding high income),EAP,7126.3850769667
Early-demographic dividend,EAR,3513.22085198666
East Asia & Pacific,EAS,10368.4839109101
Europe & Central Asia (excluding high income),ECA,7947.07977584175
Europe & Central Asia,ECS,23422.194367524
Ecuador,ECU,6273.48889235625
"Egypt, Arab Rep.",EGY,2412.72708185213
Euro area,EMU,36870.1755319339
Eritrea,ERI,
Spain,ESP,28156.8158362352
Estonia,EST,19704.655040239
Ethiopia,ETH,767.563477815809
European Union,EUU,33723.2706025215
Fragile and conflict affected situations,FCS,1608.79865815762
Finland,FIN,45703.327865074
Fiji,FJI,5589.38883340896
France,FRA,38476.6586361575
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3187.55684832866
Gabon,GAB,7413.79520698305
United Kingdom,GBR,39720.4434267836
Georgia,GEO,4057.28608116205
Ghana,GHA,2046.10998628582
Gibraltar,GIB,
Guinea,GIN,823.493715477397
"Gambia, The",GMB,709.077157975436
Guinea-Bissau,GNB,723.609411897261
Equatorial Guinea,GNQ,9697.6302336089
Greece,GRC,18613.4238733817
Grenada,GRD,10451.0298752265
Greenland,GRL,
Guatemala,GTM,4470.98957191189
Guam,GUM,35675.7941654641
Guyana,GUY,4655.14444757034
High income,HIC,41214.2808386577
"Hong Kong SAR, China",HKG,46193.6145204282
Honduras,HND,2480.12592858547
Heavily indebted poor countries (HIPC),HPC,970.63191209121
Croatia,HRV,13382.7198464828
Haiti,HTI,765.683924629642
Hungary,HUN,14224.8464577027
IBRD only,IBD,6043.38505302859
IDA & IBRD total,IBT,4846.56030821367
IDA total,IDA,1325.64712122174
IDA blend,IDB,1734.02252092013
Indonesia,IDN,3846.86432330998
IDA only,IDX,1124.52356269764
Isle of Man,IMN,
India,IND,1942.0974005834
Not classified,INX,
Ireland,IRL,69330.6901544912
"Iran, Islamic Rep.",IRN,5593.85378338148
Iraq,IRQ,5017.96806465347
Iceland,ISL,70056.8733916213
Israel,ISR,40270.2513460448
Italy,ITA,31952.9759206841
Jamaica,JAM,5114.04108078483
Jordan,JOR,4129.75166443689
Japan,JPN,38428.0973168279
Kazakhstan,KAZ,9030.3838888785
Kenya,KEN,1594.83492628749
Kyrgyz Republic,KGZ,1219.82404838204
Cambodia,KHM,1384.42318730336
Kiribati,KIR,1594.29287043422
St. Kitts and Nevis,KNA,17924.0654643767
"Korea, Rep.",KOR,29742.8388613471
Kuwait,KWT,29040.3637091117
Latin America & Caribbean (excluding high income),LAC,8350.10841773426
Lao PDR,LAO,2457.37741397281
Lebanon,LBN,8808.58944759405
Liberia,LBR,694.319582848856
Libya,LBY,5978.04292565728
St. Lucia,LCA,9715.194785938
Latin America & Caribbean,LCN,9274.78158062532
Least developed countries: UN classification,LDC,1071.43807859869
Low income,LIC,785.581782647069
Liechtenstein,LIE,
Sri Lanka,LKA,4073.73651945177
Lower middle income,LMC,2192.3189197598
Low & middle income,LMY,4662.15541323316
Lesotho,LSO,1154.44424617304
Late-demographic dividend,LTE,8982.23900030213
Lithuania,LTU,16680.6780952339
Luxembourg,LUX,104103.036746518
Latvia,LVA,15594.2860155406
"Macao SAR, China",MAC,80892.8213291687
St. Martin (French part),MAF,
Morocco,MAR,3007.24287724321
Monaco,MCO,
Moldova,MDA,2289.87771873439
Madagascar,MDG,449.722381894452
Maldives,MDV,11151.069206829
Middle East & North Africa,MEA,7372.26503407422
Mexico,MEX,8910.33317708802
Marshall Islands,MHL,3843.11988350106
Middle income,MIC,5173.86015327344
"Macedonia, FYR",MKD,5414.61482263095
Mali,MLI,827.006400807465
Malta,MLT,26903.8245211378
Myanmar,MMR,1256.6606748179
Middle East & North Africa (excluding high income),MNA,3791.75356207395
Montenegro,MNE,7782.83978966368
Mongolia,MNG,3717.47338882896
Northern Mariana Islands,MNP,28888.0023211954
Mozambique,MOZ,426.221961866327
Mauritania,MRT,1136.76459079339
Mauritius,MUS,10490.5039701879
Malawi,MWI,338.484430340903
Malaysia,MYS,9951.54415327241
North America,NAC,58070.0661365043
Namibia,NAM,5230.77172599964
New Caledonia,NCL,
Niger,NER,378.059252303818
Nigeria,NGA,1968.42552277442
Nicaragua,NIC,2221.80644458727
Netherlands,NLD,48223.1554941825
Norway,NOR,75504.5662551423
Nepal,NPL,849.01104260427
Nauru,NRU,8343.8279994234
New Zealand,NZL,42940.5782879727
OECD members,OED,38151.3619367912
Oman,OMN,15668.3666272179
Other small states,OSS,13169.0817962443
Pakistan,PAK,1547.85341366929
Panama,PAN,15196.3973399692
Peru,PER,6571.92864469964
Philippines,PHL,2988.95270335802
Palau,PLW,13338.0965529937
Papua New Guinea,PNG,2488.899696928
Poland,POL,13863.1778820268
Pre-demographic dividend,PRE,1432.45423533456
Puerto Rico,PRI,
"Korea, Dem. Peopleâ€™s Rep.",PRK,
Portugal,PRT,21136.2972102005
Paraguay,PRY,5823.76613678902
West Bank and Gaza,PSE,3094.72574681783
Pacific island small states,PSS,3995.44687217305
Post-demographic dividend,PST,42526.4531352218
French Polynesia,PYF,
Qatar,QAT,63249.4224329057
Romania,ROU,10817.833794118
Russian Federation,RUS,10743.0965915463
Rwanda,RWA,748.292094303551
South Asia,SAS,1842.25534872854
Saudi Arabia,SAU,20849.2913686605
Sudan,SDN,2898.5493455104
Senegal,SEN,1329.30422834628
Singapore,SGP,57714.2966313778
Solomon Islands,SLB,2132.11506835431
Sierra Leone,SLE,499.529103314974
El Salvador,SLV,3889.30876895407
San Marino,SMR,48888.0251667051
Somalia,SOM,478.344174874274
Serbia,SRB,5900.0381075126
Sub-Saharan Africa (excluding high income),SSA,1572.33843365298
South Sudan,SSD,
Sub-Saharan Africa,SSF,1573.60791556275
Small states,SST,11946.5849638274
Sao Tome and Principe,STP,1921.28447293456
Suriname,SUR,5317.38953875323
Slovak Republic,SVK,17604.950976993
Slovenia,SVN,23597.2917255702
Sweden,SWE,53442.0082808022
Eswatini,SWZ,3242.75106472334
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,15629.3059375489
Syrian Arab Republic,SYR,
Turks and Caicos Islands,TCA,
Chad,TCD,662.50011455695
East Asia & Pacific (IDA & IBRD countries),TEA,7201.59424328624
Europe & Central Asia (IDA & IBRD countries),TEC,8487.00295771947
Togo,TGO,610.151730130474
Thailand,THA,6595.00412458017
Tajikistan,TJK,801.05087126751
Turkmenistan,TKM,6586.625862686
Latin America & the Caribbean (IDA & IBRD countries),TLA,9111.80735833501
Timor-Leste,TLS,2279.25320357878
Middle East & North Africa (IDA & IBRD countries),TMN,3799.8678976828
Tonga,TON,3959.07975653834
South Asia (IDA & IBRD),TSA,1842.25534872854
Sub-Saharan Africa (IDA & IBRD countries),TSS,1573.60791556275
Trinidad and Tobago,TTO,16126.3709498173
Tunisia,TUN,3464.41689038656
Turkey,TUR,10546.1525631603
Tuvalu,TUV,3549.97474128384
Tanzania,TZA,936.330767971897
Uganda,UGA,606.468453487644
Ukraine,UKR,2639.82432586795
Upper middle income,UMC,8610.6524089461
Uruguay,URY,16245.5983677431
United States,USA,59531.661964344
Uzbekistan,UZB,1533.85203766488
St. Vincent and the Grenadines,VCT,7145.07683689785
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,2342.24400272117
Vanuatu,VUT,3123.61459082387
World,WLD,10721.6088483366
Samoa,WSM,4280.83891547136
Kosovo,XKX,3957.44181912974
"Yemen, Rep.",YEM,1106.80390649944
South Africa,ZAF,6151.07795531285
Zambia,ZMB,1513.27631610687
Zimbabwe,ZWE,1333.39566279393